frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_z,three_x
66,1,187.89,209.35,245.99,294.80,0.769,0,216.94,294.80,-4.0728,3.4112
66,2,244.92,218.87,315.04,320.89,0.686,0,279.98,320.89,-3.8666,4.4180
66,4,732.21,121.87,756.20,177.82,0.366,0,744.21,177.82,5.0649,7.1871
67,1,187.89,209.35,245.96,294.77,0.769,0,216.93,294.77,-4.0727,3.4106
67,2,244.82,218.79,315.18,321.09,0.681,0,280.00,321.09,-3.8681,4.4215
67,4,732.24,121.85,756.20,177.93,0.372,0,744.22,177.93,5.0558,7.1890
68,1,187.89,209.35,245.96,294.80,0.769,0,216.93,294.80,-4.0729,3.4111
68,2,244.84,218.76,315.31,321.14,0.687,0,280.07,321.14,-3.8680,4.4228
68,4,732.38,121.83,756.30,178.01,0.377,0,744.34,178.01,5.0513,7.1921
69,1,187.91,209.35,245.96,294.79,0.770,0,216.93,294.79,-4.0728,3.4111
69,2,244.82,218.75,315.36,321.13,0.689,0,280.09,321.13,-3.8679,4.4228
69,4,731.79,121.98,756.26,179.72,0.464,0,744.03,179.72,4.9069,7.2117
70,1,187.90,209.35,245.96,294.81,0.768,0,216.93,294.81,-4.0730,3.4115
70,2,244.91,218.77,315.49,321.09,0.685,0,280.20,321.09,-3.8668,4.4230
70,4,732.17,121.86,756.35,179.21,0.451,0,744.26,179.21,4.9518,7.2083
71,1,187.90,209.35,245.95,294.82,0.768,0,216.92,294.82,-4.0731,3.4116
71,2,244.97,218.77,315.62,321.06,0.685,0,280.29,321.06,-3.8659,4.4232
71,4,732.33,121.87,756.36,179.14,0.449,0,744.34,179.14,4.9582,7.2088
72,1,187.90,209.35,245.94,294.82,0.768,0,216.92,294.82,-4.0731,3.4117
72,2,245.00,218.78,315.73,321.04,0.685,0,280.36,321.04,-3.8653,4.4234
72,4,732.01,122.00,756.22,179.89,0.497,0,744.11,179.89,4.8946,7.2155
73,1,187.89,209.35,245.92,294.82,0.768,0,216.90,294.82,-4.0732,3.4114
73,2,245.01,218.77,315.83,321.01,0.686,0,280.42,321.01,-3.8647,4.4234
73,4,732.61,121.97,755.92,177.50,0.514,0,744.26,177.50,5.0920,7.1834
74,1,187.87,209.34,245.88,294.80,0.768,0,216.87,294.80,-4.0733,3.4108
74,2,245.00,218.77,315.88,320.98,0.685,0,280.44,320.98,-3.8644,4.4231
74,4,732.85,121.97,755.83,176.56,0.508,0,744.34,176.56,5.1725,7.1707
75,1,187.87,209.34,245.87,294.80,0.768,0,216.87,294.80,-4.0733,3.4106
75,2,244.94,218.77,315.89,320.99,0.687,0,280.41,320.99,-3.8646,4.4230
75,4,732.90,122.03,755.63,175.79,0.497,0,744.27,175.79,5.2366,7.1578
76,1,187.85,209.34,245.85,294.80,0.769,0,216.85,294.80,-4.0735,3.4107
76,2,244.88,218.76,315.90,321.00,0.688,0,280.39,321.00,-3.8649,4.4230
76,4,733.23,122.11,755.84,175.63,0.520,0,744.53,175.63,5.2539,7.1602
77,1,187.84,209.33,245.84,294.81,0.769,0,216.84,294.81,-4.0736,3.4108
77,2,244.82,218.75,315.91,321.02,0.691,0,280.36,321.02,-3.8652,4.4231
77,4,733.39,122.18,755.98,175.77,0.497,0,744.69,175.77,5.2450,7.1648
78,1,187.84,209.33,245.84,294.82,0.770,0,216.84,294.82,-4.0737,3.4108
78,2,244.73,218.73,315.90,321.10,0.697,0,280.32,321.10,-3.8661,4.4240
78,4,733.39,122.29,756.06,176.11,0.459,0,744.72,176.11,5.2161,7.1707
79,1,187.85,209.33,245.83,294.79,0.771,0,216.84,294.79,-4.0734,3.4103
79,2,244.69,218.74,315.90,321.13,0.698,0,280.29,321.13,-3.8666,4.4243
79,4,732.90,122.31,756.59,179.04,0.431,0,744.75,179.04,4.9730,7.2142
79,8,696.39,103.62,719.44,155.93,0.564,0,707.91,155.93,6.5437,6.0684
80,1,187.87,209.33,245.82,294.76,0.772,0,216.84,294.76,-4.0731,3.4096
80,2,244.62,218.72,315.83,321.12,0.705,0,280.23,321.12,-3.8669,4.4237
80,4,733.11,122.35,756.46,178.41,0.506,0,744.78,178.41,5.0251,7.2057
80,8,697.59,103.68,721.97,159.27,0.694,0,709.78,159.27,6.2191,6.1925
81,1,187.86,209.32,245.83,294.78,0.769,0,216.84,294.78,-4.0733,3.4100
81,2,244.60,218.75,315.81,321.15,0.696,0,280.20,321.15,-3.8672,4.4239
81,4,732.99,122.35,756.19,178.09,0.470,0,744.59,178.09,5.0481,7.1978
81,8,698.62,103.94,723.80,161.83,0.706,0,711.21,161.83,5.9817,6.2831
82,1,187.91,209.32,245.87,294.76,0.770,0,216.89,294.76,-4.0728,3.4100
82,2,244.93,218.98,315.67,320.69,0.677,0,280.30,320.69,-3.8628,4.4172
82,4,731.26,122.32,757.58,186.78,0.459,0,744.42,186.78,4.3712,7.3144
82,8,699.72,103.99,725.11,162.92,0.680,0,712.42,162.92,5.8936,6.3319
83,1,187.91,209.32,245.89,294.80,0.768,0,216.90,294.80,-4.0730,3.4109
83,2,244.99,219.06,315.54,320.54,0.676,0,280.27,320.54,-3.8618,4.4145
83,4,730.24,122.44,758.39,192.88,0.475,0,744.31,192.88,3.9416,7.3887
83,8,700.56,104.18,725.97,163.73,0.717,0,713.27,163.73,5.8287,6.3668
84,1,187.89,209.32,245.88,294.81,0.767,0,216.89,294.81,-4.0732,3.4110
84,2,244.97,219.09,315.42,320.46,0.682,0,280.19,320.46,-3.8616,4.4126
84,4,729.97,122.51,758.61,195.65,0.508,0,744.29,195.65,3.7583,7.4209
84,8,701.25,104.41,726.46,164.01,0.757,0,713.86,164.01,5.8109,6.3845
85,1,187.86,209.32,245.85,294.81,0.766,0,216.86,294.81,-4.0735,3.4108
85,2,245.03,219.11,315.43,320.42,0.683,0,280.23,320.42,-3.8611,4.4123
85,4,730.02,122.54,758.57,196.83,0.539,0,744.30,196.83,3.6823,7.4345
85,8,701.96,104.66,726.94,164.05,0.764,0,714.45,164.05,5.8171,6.3965
86,1,187.86,209.31,245.84,294.81,0.767,0,216.85,294.81,-4.0735,3.4107
86,2,245.06,219.11,315.45,320.43,0.685,0,280.25,320.43,-3.8609,4.4125
86,4,730.12,122.61,758.36,197.33,0.556,0,744.24,197.33,3.6497,7.4392
86,8,702.84,104.76,727.83,164.56,0.753,0,715.33,164.56,5.7830,6.4246
87,1,187.86,209.31,245.83,294.80,0.768,0,216.85,294.80,-4.0734,3.4105
87,2,245.07,219.12,315.45,320.42,0.685,0,280.26,320.42,-3.8608,4.4125
87,4,730.38,122.65,758.08,197.09,0.509,0,744.23,197.09,3.6653,7.4363
87,8,703.49,105.09,728.49,165.03,0.758,0,715.99,165.03,5.7491,6.4473
88,1,187.88,209.31,245.87,294.81,0.767,0,216.88,294.81,-4.0733,3.4109
88,2,245.08,219.11,315.48,320.45,0.683,0,280.28,320.45,-3.8609,4.4132
88,4,730.66,122.72,757.96,197.17,0.507,0,744.31,197.17,3.6610,7.4385
88,8,704.27,105.42,729.26,165.34,0.759,0,716.76,165.34,5.7321,6.4687
89,1,187.89,209.31,245.86,294.78,0.770,0,216.88,294.78,-4.0731,3.4103
89,2,245.06,219.10,315.44,320.43,0.685,0,280.25,320.43,-3.8610,4.4126
89,4,731.06,122.79,757.91,197.11,0.587,0,744.49,197.11,3.6671,7.4405
89,8,704.74,105.68,729.99,166.18,0.784,0,717.36,166.18,5.6623,6.4980
90,1,187.88,209.30,245.88,294.83,0.766,0,216.88,294.83,-4.0735,3.4115
90,2,245.04,219.09,315.41,320.44,0.684,0,280.23,320.44,-3.8612,4.4126
90,4,731.23,122.87,757.83,197.51,0.616,0,744.53,197.51,3.6422,7.4457
90,8,705.40,105.97,730.74,166.69,0.776,0,718.07,166.69,5.6259,6.5220
91,1,187.88,209.29,245.88,294.83,0.767,0,216.88,294.83,-4.0735,3.4115
91,2,245.09,219.09,315.45,320.43,0.687,0,280.27,320.43,-3.8608,4.4127
91,4,731.47,122.90,757.72,197.60,0.614,0,744.60,197.60,3.6376,7.4477
91,8,706.06,106.13,731.50,167.01,0.781,0,718.78,167.01,5.6081,6.5419
92,1,187.87,209.30,245.87,294.84,0.766,0,216.87,294.84,-4.0736,3.4115
92,2,245.11,219.09,315.44,320.41,0.686,0,280.28,320.41,-3.8606,4.4124
92,4,731.77,122.95,757.70,197.69,0.629,0,744.74,197.69,3.6335,7.4508
92,8,706.87,106.22,732.26,167.14,0.781,0,719.57,167.14,5.6092,6.5591
