frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
1928,101,867,523,969,692,0.8918147087097168,0,918,692,-2.640042543411255,5.397618293762207,WALKWAY_1,1.6568627450980393
1928,69,728,493,840,723,0.8079859018325806,0,784,723,-1.6982970237731934,5.89903450012207,WALKWAY_1,2.0535714285714284
1928,62,631,633,807,1130,0.9061112999916077,0,719,1130,-4.826868534088135,7.533493995666504,WALKWAY_14,2.8238636363636362
1928,108,1583,322,1705,524,0.5366254448890686,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1928,103,234,659,397,1012,0.7523592114448547,0,315,1012,-1.29945969581604,8.613630294799805,WALKWAY_9,2.165644171779141
1928,102,753,393,789,470,0.6007232666015625,0,771,470,4.4994001388549805,1.7515065670013428,WALKWAY_29,2.138888888888889
1928,105,483,419,525,518,0.529811441898346,0,504,518,8.247373580932617,3.9311118125915527,WALKWAY_26,2.357142857142857
1929,7,1460,310,1568,509,0.8947148323059082,0,1514,509,-2.511122226715088,1.8605453968048096,WALKWAY_28,1.8425925925925926
1929,79,633,442,708,552,0.735396146774292,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4666666666666666
1929,101,867,523,969,692,0.8946446776390076,0,918,692,-2.640042543411255,5.397618293762207,WALKWAY_1,1.6568627450980393
1929,69,728,495,839,722,0.8050622940063477,0,783,722,-1.656974196434021,5.895788669586182,WALKWAY_1,2.045045045045045
1929,62,631,634,808,1130,0.8837745785713196,0,719,1130,-4.826868534088135,7.533493995666504,WALKWAY_14,2.8022598870056497
1929,108,1583,322,1705,524,0.5375058650970459,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1929,103,233,661,395,1012,0.7916150689125061,0,314,1012,-1.2981529235839844,8.615839004516602,WALKWAY_9,2.1666666666666665
1929,102,753,393,789,470,0.6000882387161255,0,771,470,4.4994001388549805,1.7515065670013428,WALKWAY_29,2.138888888888889
1930,7,1460,310,1568,509,0.8975685834884644,0,1514,509,-2.511122226715088,1.8605453968048096,WALKWAY_28,1.8425925925925926
1930,79,632,442,708,552,0.7104548811912537,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4473684210526316
