frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
2079,161,1444,317,1528,479,0.7442185282707214,0,1486,479,-2.1796188354492188,1.620927095413208,WALKWAY_27,17
2079,158,463,423,503,529,0.6593970656394958,0,483,529,8.000253677368164,4.167336463928223,WALKWAY_26,17
2079,163,754,399,793,469,0.57331383228302,0,773,469,4.501984596252441,1.7399369478225708,WALKWAY_29,17
2079,141,532,693,696,1153,0.8512040972709656,0,614,1153,-4.525426387786865,7.774615287780762,WALKWAY_14,17
2079,162,495,679,701,1162,nan,0,598,1162,-4.55017614364624,7.824669361114502,WALKWAY_14,17
2080,118,629,442,711,550,0.6413292288780212,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2080,139,874,521,971,691,0.8650187253952026,0,922,691,-3.0752756595611572,5.632003307342529,WALKWAY_1,17
2080,87,738,498,844,719,0.8473671674728394,0,791,719,-2.7900233268737793,6.144083023071289,WALKWAY_1,17
2080,161,1442,318,1527,479,0.7148805260658264,0,1484,479,-2.1714117527008057,1.6217290163040161,WALKWAY_27,17
2080,158,462,424,502,529,0.5280995965003967,0,482,529,8.022391319274902,4.169532775878906,WALKWAY_26,17
2080,163,756,399,794,468,0.5326259732246399,0,775,468,4.504591464996338,1.7282657623291016,WALKWAY_29,17
2080,141,538,710,695,1149,0.7931960225105286,0,616,1149,-4.492035865783691,7.702396392822266,WALKWAY_8,17
2080,162,485,695,684,1150,0.7992018461227417,0,584,1150,-4.404503345489502,7.74888801574707,WALKWAY_8,17
2081,118,629,442,711,550,0.6375772953033447,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2081,139,875,521,972,691,0.8617674112319946,0,923,691,-3.0797293186187744,5.629712104797363,WALKWAY_1,17
2081,87,739,498,844,719,0.8557702898979187,0,791,719,-2.7900233268737793,6.144083023071289,WALKWAY_1,17
2081,161,1441,318,1527,478,0.7053400278091431,0,1484,478,-2.160914659500122,1.6160575151443481,WALKWAY_27,17
2081,158,462,423,502,529,0.538953423500061,0,482,529,8.022391319274902,4.169532775878906,WALKWAY_26,17
2081,163,757,399,795,468,0.5472961068153381,0,776,468,4.484790325164795,1.7273728847503662,WALKWAY_29,17
2081,141,542,736,690,1143,0.831169843673706,0,616,1143,-4.453066349029541,7.694271087646484,WALKWAY_8,17
2081,162,483,710,679,1143,0.7705449461936951,0,581,1143,-4.349440574645996,7.743853569030762,WALKWAY_8,17
2082,118,629,442,711,550,0.6514630317687988,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2082,139,874,521,971,691,0.8661631941795349,0,922,691,-3.0752756595611572,5.632003307342529,WALKWAY_1,17
2082,87,740,498,844,719,0.8560284376144409,0,792,719,-2.794703722000122,6.141484260559082,WALKWAY_1,17
2082,161,1439,319,1526,478,0.6842527389526367,0,1482,478,-2.1526496410369873,1.6168560981750488,WALKWAY_27,17
2082,158,461,423,502,529,0.534187376499176,0,481,529,8.044535636901855,4.171730041503906,WALKWAY_26,17
2082,163,759,399,796,468,0.5151537656784058,0,777,468,4.465014934539795,1.7264810800552368,WALKWAY_29,17
2082,141,548,786,680,1137,0.6870765089988708,0,614,1137,-4.407849311828613,7.688905239105225,WALKWAY_8,17
2082,162,485,754,670,1138,0.5165838599205017,0,577,1138,-4.304183006286621,7.7428812980651855,WALKWAY_8,17
2083,118,630,442,711,550,0.6437438726425171,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2083,139,874,521,971,691,0.8654123544692993,0,922,691,-3.0752756595611572,5.632003307342529,WALKWAY_1,17
2083,87,741,499,844,719,0.8477269411087036,0,792,719,-2.794703722000122,6.141484260559082,WALKWAY_1,17
